Name,kind,Address,Zip,latitude,longitude,Phone,daterange,Days,BreakfastTime,LunchTime
Adlai E. Stevenson Elementary School,Hot Meal,18300 Woda Avenue,44122,41.4549927,-81.5507673,(216) 482-2950,6/8/15 - 7/3/15,M-F,9:00 AM - 9:30 AM,12:00 PM - 1:00 PM
ALLIANCE FOR FAMILY HOPE,Hot Meal,5050 STANLEY,44137,41.4217339,-81.5715408,(216) 581-2084,6/22/15 - 7/25/15,M-F,8:30 AM - 9:30 AM,11:00 AM - 12:00 PM
Applewood Centers,Hot Meal,10427 Detroit Ave,44102,41.480217,-81.7597427,(440)554-1187,6/8/15 - 8/21/15,M-F,9:00am - 10:30 AM,12:30 PM - 2:00 PM
Bellefaire JCB,Hot Meal,22001 Fairmount Blvd,44118,41.4868088,-81.5245285,(216)320-8369,6/8/15 - 8/21/15,M-F,9:00am - 10:00am,12:00 PM - 1:00 PM
BGC - Cleveland Heights,Hot Meal,2065 Lee road,44118,41.5033966,-81.5653981,(216)321-2582,6/8/15 - 8/14/15,M-R,None,12:00 PM - 5:00 PM
BGC - Michael R. White STEM School,Hot Meal,1000 E. 92nd Street,44124,41.5294418,-81.6243515,(216) 496-1769,6/8/15 - 7/31/15,M-F,10:00 AM - 11:00 AM,1:00 AM - 2:00 AM
BGC - Mt. Pleasant,Hot Meal,3689 E. 131st st,44120,41.4585533,-81.5906143,(216)752-2450,6/8/15 - 8/8/15,M-S,None,3:00 PM - 4:00 PM
BGC - Broadway,Hot Meal,6114 Broadway,44127,41.4641686,-81.6478318,(216)883-4663,5/26/15 - 8/21/15,M-S,None,2:30 PM - 3:30 PM (3:00-4:00pm on Saturday)
BGC - East Cleveland/MLK,Hot Meal,14801 Shaw Ave,44112,41.5401077,-81.5776367,(216)681-2812,6/8/15 - 8/31/15,M-F,None,1:00 PM - 1:30 PM
BGC - FDR,Hot Meal,800 Linn Dr,44108,41.5357567,-81.6099932,(216)470-3530,6/8/15 - 8/31/15,M-F,None,2:30 PM - 3:30 PM
BGC -Walton School,Hot Meal,3409 Walton Ave,44113,41.4706383,-81.7070007,(216) 774-9676,6/1/15 - 8/7/15,M-F,None,2:00 PM - 3:00 PM
BGC -Westside,Hot Meal,3340 Trowbridge ave,44109,41.4617861,-81.7058419,(216)459-2697,6/8/15 - 8/14/15,M-F,None,1:00 PM - 3:00 PM
BGC-Charles Eliot ,Hot Meal,15700 LOTUS DR.,44128,41.4456406,-81.5717621,216-299-6285,6/2/15 - 8/14/15,M-F,None,12:00pm - 12:45PM
Chagrin Falls Park Community Center,Hot Meal,7060 Woodland,44023,41.414505,-81.388771,(440)247-6030,6/22/15 - 8/7/15,M-F,9:00 AM - 10:00 AM,12:00 PM - 1:00 PM
Childrens Cupboard,Hot Meal,176 Hedges Street,44903,40.7533684,-82.5100339,(419) 512-0485,6/22/15 - 7/16/15,M-R,None,12noon - 1:00pm
Church of the Ascension,Hot Meal,13216 Detroit Ave.,44107,41.4848149,-81.7813683,(216)521-8727,6/15/15 - 8/17/15,M-F,None,11:30 AM - 1:00 AM
Cleveland Central Catholic,Hot Meal,6550 Baxter Ave,44105,41.4593963,-81.644292,(216)441-4700,6/15/15 - 8/14/15,M-R,None,1:15 PM - 3:00pm
CMSD -Robinson G. Jones,Hot Meal,4550 W. 150th Street,44135,41.4290848,-81.8030167,(216)920-7143,6/1/15 - 7/23/15,"M,W,R",9:00am - 9:30am,11:30 AM - 12:00 PM
CPL -  E. 131 STREET BRANCH,Hot Meal,3830 EAST 131 STREET,44120,41.4545602,-81.5912224,(216)623-6941,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
"CPL - MARTIN L. KING, JR. BRANCH",Hot Meal,1962 STOKES BLVD.,44106,41.5045662,-81.6138153,(216) 623-7018,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - Brooklyn Branch,Hot Meal,3706 Pearl Road,44109,41.4539098,-81.7014404,(216)623-6920,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - Carnegie West,Hot Meal,1900 Fulton Road,44113,41.4830654,-81.7105211,(216)623-6927,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - COLLINWOOD BRANCH,Hot Meal,856 EAST 152 STREET,44110,41.5559692,-81.5759964,(216)623-6934,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - EASTMAN BRANCH,Hot Meal,11602 LORAIN AVENUE,44111,41.4630508,-81.7685165,(216)623-6955,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - Fleet,Hot Meal,7224 Broadway Ave,44105,41.4573555,-81.6382675,(216) 623-6362,6/8/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - GARDEN VALLEY BRANCH,Hot Meal,7201 KINSMAN AVENUE,44104,41.4718208,-81.6221237,(216) 623-6976,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - GLENVILLE BRANCH,Hot Meal,11900 ST. CLAIR AVENUE,44108,41.541069,-81.602256,(216) 623-6983,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - HOUGH BRANCH,Hot Meal,1566 CRAWFORD ROAD,44106,41.5143814,-81.6229858,(216) 623-6997,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - JEFFERSON BRANCH,Hot Meal,850 JEFFERSON AVENUE,44113,41.4792557,-81.6855545,(216) 623-7004,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - LANGSTON HUGHES BRANCH,Hot Meal,10200 SUPERIOR AVENUE,44106,41.5214807,-81.6171648,(216) 623-6975,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - MT. PLEASANT BRANCH,Hot Meal,14000 KINSMAN ROAD,44120,41.464035,-81.5844574,(216) 623-7032,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - RICE BRANCH,Hot Meal,11353 SHAKER BLVD.,44120,41.484314,-81.6060229,(216) 623-7046,6/9/15 - 7/31/15,M-R,None,11:30 AM - 12:30 PM
CPL - ROCKPORT BRANCH,Hot Meal,4421 WEST 140TH STREET,44135,41.4341345,-81.7906225,(216) 623-7053,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - SOUTH BROOKLYN BRANCH,Hot Meal,4303 PEARL ROAD,44109,41.4386702,-81.7071173,(216) 623-7067,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - STERLING BRANCH,Hot Meal,2200 E. 30TH STREET,44115,41.4975624,-81.6667786,(216) 623-7074,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - UNION BRANCH,Hot Meal,3465 EAST 93RD STREET,44104,41.4643543,-81.6214053,(216) 623-7088,6/9/15 - 7/31/15,M-S,None,11:30 AM - 12:30 PM
CPL - WALZ BRANCH,Hot Meal,7910 DETROIT AVENUE,44102,41.482036,-81.739616,(216) 623-7095,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CPL - WEST PARK BRANCH,Hot Meal,3805 WEST 157TH STREET,44111,41.4514275,-81.8073807,(216) 623-7102,6/9/15 - 7/31/15,M-R,None,11:30 AM - 12:30 PM
CPL - WOODLAND BRANCH,Hot Meal,5806 WOODLAND AVENUE,44104,41.4879765,-81.6489798,(216) 623-7109,6/9/15 - 7/31/15,M-F,None,11:30 AM - 12:30 PM
CCPL - Brooklyn Branch,Hot Meal,4480 Ridge Road,44144,41.4345624,-81.7353597,(216)398-4600,6/15/15 - 8/6/15,M-F,None,11:45AM - 12:15PM
CCPL - Maple Heights Branch,Hot Meal,5225 Library Lane,44137,41.4181175,-81.5696564,(216)475-5000,6/15/15 - 8/6/15,M-R,None,12:00 noon - 12:30 PM
CCPL - Parma Snow Branch,Hot Meal,2121 Snow Rd,44134,41.4041176,-81.6972198,(216) 661-4240,6/15/15 - 8/6/15,M-R,None,11:30 AM - 12:15 PM
CCPL - Southeast Branch,Hot Meal,70 Columbus Road,44146,41.3940181,-81.534436,(440) 439-4997,6/15/15 - 8/6/15,M-R,None,11:45 AM - 12:30 PM
CCPL - Garfield Heights Branch,Hot Meal,5409 Turney Road,44125,41.4154623,-81.6048454,(216) 475-8178,6/15/15 - 8/6/15,M-R,None,12:00 P.M. - 12:30 P.M.
CCPL - Warrensville Branch,Hot Meal,4415 Northfield Road,44128,41.4405765,-81.5263271,(216)464-5280,6/15/15 - 3/6/15,M-R,None,12:15 p.m. - 12:45 p.m.
East Cleveland Public Library,Hot Meal,14101 Euclid Ave,44101,41.5284576,-81.5846863,(216)541-4128,6/8/15 - 8/14/15,M-F,None,1:00 PM - 2:00 PM
Fairhill Partners,Hot Meal,12200 Fairhill Road,44105,41.4916992,-81.5976257,(216)421-1350,7/7/15 - 7/30/15,T-R,9:00am - 10:00am,12:30pm - 1:30pm
Family for Life Foundation,Hot Meal,7115 Woodland Avenue,44104,41.4881596,-81.6391294,(216) 881-7005,6/8/15 - 8/31/15,M-F,7:00am - 8:30am,11:00am - 12:30pm
First English Lutheran Christian Day School,Hot Meal,53 Park Ave West,44902,40.7584457,-82.5184402,(419) 522-7500,6/15/15 - 7/30/15,M-R,8:30 AM - 9:30 AM,11:15 AM - 12:15 PM
East Cleveland Neighborhood Center - Freedom School,Hot Meal,2490 Lee Blvd Suite 322,44118,41.5161514,-81.5698853,(330) 324-8776,6/15/15 - 7/24/15,M-F,8:00am - 8:45 AM,12:00pm - 1:00pm
Olivet Baptist Church - Freedom School,Hot Meal,8712 Quincy Avenue,44106,41.4933752,-81.6259389,(216) 376-4642,6/15/15 - 7/24/15,M-F,8:00 A M - 8:30 A M,12:00pm - 1:00 P M
Glenville Legacy Center - Camp ROC,Hot Meal,7820 Euclid Ave,44103,41.5038103,-81.6342457,(216) 225-6849,6/15/15 - 7/23/15,M-R,9:00am - 10:00am,12:00pm - 1:00pm
Grace Church,Hot Meal,2503 Broadview Road,44109,41.4393768,-81.7020111,(216)661-8210,6/8/15 - 8/14/15,M-F,None,11:30 AM - 1:00 PM
Holy Trinity Baptist Church,Hot Meal,3808  East 131st. Street,44120,41.4549659,-81.5912278,(216)561-4121,5/15/15 - 8/31/15,M-F,9:00 AM - 10:30 AM,12:30 PM - 1:30 PM
JUST 4 KIDS,Hot Meal,3565 MAYFIELD ROAD,44118,41.5205318,-81.5510577,(216)402-5025,6/8/15 - 8/14/15,M-F,8:00AM - 9:00AM,11:00 AM - 12:00 PM
Karamu House,Hot Meal,2355 East 89th Street,44105,41.4942474,-81.6240616,(216)795-7070,6/1/15 - 8/21/15,M-R,6:30am - 9:30 AM,12:00 PM - 2:00 PM
Kingdom Builders of Christ Church,Hot Meal,6612 st. clair avenue,44108,41.525588,-81.643814,(216)269-2477,6/8/15 - 8/31/15,"M,S",None,5:00 PM - 5:45 PM
Liberty Hill Baptist Church,Hot Meal,8206 Euclid Avenue,44103,41.5036158,-81.6305986,(216)245-3592,6/8/15 - 8/14/15,M-F,7:00am - 8:00am,11:45 AM - 12:15 PM
Open Doors Academy,Hot Meal,3311 Perkins Ave.,44114,41.5062256,-81.6639862,(216)229-1900,6/15/15 - 8/6/15,M-F,None,12:00 PM - 1:00 PM
Parma City Schools,Hot Meal,11212 Snow Road,44130,41.4050668,-81.7655419,(440) 842-7022,6/9/15 - 8/21/15,M-F,9:00am - 10:00am,12:00pm - 1:30pm
Pilgrim Congregational United Church of Christ,Hot Meal,2592 West 14th Street,44113,41.4769211,-81.691864,(216) 861-7388,6/15/15 - 7/17/15,M-F,None,12:00pm - 1:00 PM
Robert H. Jamison School,Hot Meal,4092 East 146th Street,44128,41.4481506,-81.5802231,(216) 400-7047,6/8/15 - 7/10/15,M-F,9:00am - 10:00am,1:00pm - 2:00pm
SA - Superior,Hot Meal,9000 Superior Avenue,44106,41.5205078,-81.6249008,(216)229-6065,6/8/15 - 8/14/15,M-F,None,11:30a - 12:30P
SA - Temple,Hot Meal,17625 Grovewwod,44110,41.5767632,-81.5572128,(216) 357-9134,6/8/15 - 7/31/15,M-F,8:00am - 9:00am,12:00 PM - 1:30 AM
SA - West Park,Hot Meal,12645 Lorain Ave,44111,41.4595116,-81.7760689,(216)789-6558,6/22/15 - 8/7/15,M-F,9:00am - 10:00am,12:00 PM - 1:00 PM
SA-Ohio City,Hot Meal,4402 Clark Ave,44109,41.4697026,-81.7166928,(216)631-1515,6/8/15 - 7/31/15,M-F,8:30am - 9:00am,12:00 PM - 1:00 PM
Scranton Road Ministries ,Hot Meal,3095 Scranton Road,44113,41.4701424,-81.6965942,(216)861-5323,6/1/15 - 7/30/15,M-R,9:30 AM - 10:00 AM,12:00 PM - 12:30 PM
Start Right CDC,Hot Meal,977 Caledonia Ave,44112,41.5334976,-81.5621339,(216) 832-6508,6/22/15 - 8/6/15,M-F,None,1:30 AM - 2:00 AM
City of Mansfield - North Lake,Hot Meal,445 Bowman St,44903,40.7703285,-82.5237656,(419) 524-2626,6/22/15 - 8/14/15,M-F,None,12:00pm - 1:00pm
City of Mansfield - Ocie Hill ,Hot Meal,445 Bowman St,44903,40.7703285,-82.5237656,(419) 524-2626,6/22/15 - 8/14/15,M-F,8:00am - 9:00am,12:00pm - 1:00pm
City of Mansfield - Prospect Park,Hot Meal,445 Bowman St,44903,40.7703285,-82.5237656,(419) 524-2626,6/22/15 - 8/14/15,M-F,None,12:00pm - 1:00pm
Teach Me Childcare,Hot Meal,540 Pearl St.,44902,40.7728386,-82.5052234,(419) 610-6915,6/8/15 - 8/28/15,M-F,8:30 AM - 9:30 AM,12:30 PM - 1:00 PM
The Basheer Jones Foundation,Hot Meal,2357 Tremont Ave.,44113,41.4798662,-81.6870651,216-338-2885,6/22/15 - 8/14/15,M-F,8:30 AM - 9:30 AM,12:00 PM - 1:00 PM
The Church C.O.G.I.C.,Hot Meal,7541 Kinsman Rd.,44104,41.4784966,-81.6347656,(216) 536-3284,6/8/15 - 8/14/15,M-F,None,11:30am - 1:00pm
True Faith Apostolic Bibleway Church,Hot Meal,911 Maud Avenue,44103,41.529363,-81.6329529,(216)543-5585,6/9/15 - 8/31/15,S,None,12:00 PM - 1:00 PM
City of Warrensville (Granada Gardens),Hot Meal,4301 Warrensville Ctr Rd,44128,41.4426117,-81.536034,(216) 662-5286,6/10/15 - 8/13/15,W-R,None,12:00pm - 1:00pm
Urban Squash Cleveland,Hot Meal,7100 Euclid Ave,44103,41.5030441,-81.6387024,(216) 269-6034,7/6/15 - 7/31/15,M-F,None,12:00PM - 1:00PM
Bethany Christian Church (Disciples of Christ),Hot Meal,3940 MLK Dr,44105,41.45148712,-81.60273518,(216)548-3879, 6/22/15 - 7/31/15 ,M-F,8:30 AM - 9:00 AM,12:30 PM - 1:00 AM
BGC - St. Luke's,Hot Meal,2705 MLK Dr.,44104,41.48574249,-81.60325423,(216) 400-8212, 6/1/15 - 8/14/15 ,M-F,None,2:00pm - 3:00pm
BGC- King Kennedy,Hot Meal,2561 E. 59th Street,44104,41.48868649,-81.64888459,(216)881-4636, 6/8/15 - 8/31/15 ,M-F,None,2:30 PM - 3:30 PM
CPL - Addison Branch,Hot Meal,6901 Superior Avenue,44103,41.51925244,-81.64224812,(216)623-6902, 6/8/15 - 7/31/15 ,M-F,None,11:30 AM - 12:30 PM
CPL - FULTON BRANCH,Hot Meal,3545 FULTON ROAD,44109,41.4579881,-81.71290163,(216) 623-6969, 6/9/15 - 7/31/15 ,M-S,None,11:30 AM - 12:30 PM
CPL - HARVARD LEE BRANCH,Hot Meal,16918 HARVARD AVENUE,44128,41.44967735,-81.5616168,(216) 623-6990, 6/9/15 - 7/31/15 ,M-F,None,11:30 AM - 12:30 PM
CPL - LORAIN BRANCH,Hot Meal,8216 LORAIN BLVD,44102,41.47074168,-81.74163692,(216) 623-7011, 6/9/15 - 7/31/15 ,M-F,None,11:30 AM - 12:30 PM
CPL - MAIN LIBRARY,Hot Meal,325 SUPERIOR AVENUE,44114,41.50076773,-81.69178213,(216) 623-2834, 6/9/15 - 7/31/15 ,M-F,None,11:30 AM - 12:30 PM
FIFTH CHRISTIAN CHURCH,Hot Meal,14109 BENWOOD AVENUE,44128,41.45092053,-81.58390163,(216)751-3996, 6/22/15 - 8/14/15 ,M-F,9:00am - 9:45am,12noon - 1:00pm
Peace in Hood,Hot Meal,13512 Kinsman Rd,44120,41.46524453,-81.58832341,(216)618-8806, 6/15/15 - 8/6/15 ,M-R,8:00 AM - 9:00 AM,11:30 AM - 1:00 PM
Taskforce of Greater Cleveland (Carey West Apts.),Hot Meal,8901 Detroit Ave.,44102,41.48027907,-81.7452729,(216) 502-8791, 6/15/15 - 8/21/15 ,M-F,None,12:00 noon - 1:00 P.M.
Three Crosses Methodist Church,Hot Meal,12 Clevewland St.,44822,40.58692585,-82.42462098,(419)883-2269, 6/8/15 - 7/31/15 ,"M,W,F",None,12:00 PM - 1:00 PM