Address	City	County	Zip		[sequence]	[summary]	[addressee]	[delivery_line_1]	[delivery_line_2]	[city_name]	[state_abbreviation]	[full_zipcode]	[notes]	[county_name]	[rdi]	[latitude]	[longitude]	[precision]	[dpv_match_code]	[dpv_footnotes]	[footnotes]	[county_fips]	[record_type]	[zip_type]	[carrier_route]	[congressional_district]	[building_default_indicator]	[elot_sequence]	[elot_sort]	[time_zone]	[utc_offset]	[dst]	[dpv_cmra]	[ews_match]	[lacslink_indicator]	[lacslink_code]	[suitelink_match]	[dpv_vacant]	[active]	[urbanization]	[primary_number]	[street_name]	[street_predirection]	[street_postdirection]	[street_suffix]	[secondary_number]	[secondary_designator]	[extra_secondary_number]	[extra_secondary_designator]	[pmb_designator]	[pmb_number]	[default_city_name]	[zipcode]	[plus4_code]	[delivery_point]	[delivery_point_check_digit]	[last_line]	[delivery_point_barcode]
944 East 152nd Street	Cleveland	Cuyahoga	44110		1	Match-Mailable		944 E 152nd St		Cleveland	OH	44110-3068	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.55385	-81.57582	Zip9	Y	AABB	N#	39035	S	Standard	C011	11		0002	D	Eastern	-5	Y	N					N	Y		944	152nd	E		St								44110	3068	44	5	Cleveland OH 44110-3068	441103068445
18300 Woda Avenue	Cleveland	Cuyahoga	44122		2	No Match		18300 Woda Avenue		Cleveland	OH	44122	Address not found, ZIP+4 did not match		Unknown	41.47213	-81.51825	Zip5		A1	F#			Standard						None																						Beachwood	44122				Cleveland OH 44122	44122
5050 STANLEY	MAPLE HTS	Cuyahoga	44137		3	Match-Mailable		5050 Stanley Ave		Maple Heights	OH	44137-2825	Standardized, Fixed city/state spelling, Address component was changed, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.42214	-81.57154	Zip9	Y	AABB	B#L#	39035	S	Standard	C003	11		0113	A	Eastern	-5	Y	N					N	Y		5050	Stanley			Ave								44137	2825	50	9	Maple Heights OH 44137-2825	441372825509
10427 Detroit Ave	Cleveland	Cuyahoga	44102		4	Match-Mailable		10427 Detroit Ave		Cleveland	OH	44102-1645	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.48021	-81.75973	Zip9	Y	AABB		39035	S	Standard	C009	11		0136	A	Eastern	-5	Y	N					N	Y		10427	Detroit			Ave								44102	1645	27	4	Cleveland OH 44102-1645	441021645274
22001 Fairmount Blvd	Shaker Hts	Cuyahoga	44118		5	Match-Mailable		22001 Fairmount Blvd		Cleveland	OH	44118-4819	Standardized, Fixed city/state spelling, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.4865	-81.52561	Zip9	Y	AABB	B#	39035	S	Standard	C033	11		0002	A	Eastern	-5	Y	N					N	Y		22001	Fairmount			Blvd								44118	4819	01	9	Cleveland OH 44118-4819	441184819019
3940 MLK Dr	Cleveland	Cuyahoga	44105		6	Match-Mailable		3940 Martin Luther King Jr Dr		Cleveland	OH	44105-4357	Standardized, Better address exists, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45808	-81.60657	Zip9	Y	AABB	P#	39035	S	Standard	C032	11		0010	A	Eastern	-5	Y	N					N	Y		3940	Martin Luther King Jr			Dr								44105	4357	40	3	Cleveland OH 44105-4357	441054357403
2065 Lee road	Cleveland Heights	Cuyahoga	44118		7	Match-Mailable		2065 Lee Rd		Cleveland	OH	44118-2556	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.50313	-81.56539	Zip9	Y	AABB	N#	39035	S	Standard	C038	11		0078	D	Eastern	-5	Y	N					N	Y		2065	Lee			Rd								44118	2556	65	3	Cleveland OH 44118-2556	441182556653
1000 E. 92nd Street	Cleveland	Cuyahoga	44124		8	Match-Mailable		1000 E 92nd St		Cleveland	OH	44108-3281	Standardized, Corrected ZIP code, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.52944	-81.62434	Zip9	Y	AABB	A#N#	39035	S	Standard	C021	11		0002	A	Eastern	-5	Y	N					N	Y		1000	92nd	E		St								44108	3281	00	9	Cleveland OH 44108-3281	441083281009
3689 E. 131st st	Cleveland	Cuyahoga	44120		9	Match-Mailable		3689 E 131st St		Cleveland	OH	44120-4526	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.4605	-81.59108	Zip9	Y	AABB	N#	39035	S	Standard	C044	11		0134	A	Eastern	-5	Y	N					N	Y		3689	131st	E		St								44120	4526	89	5	Cleveland OH 44120-4526	441204526895
2705 MLK Dr.	Cleveland	Cuyahoga	44104		10	No Match		2705 Mlk Dr		Cleveland	OH	44104	No ZIP+4 assigned, Fixed abbreviations, Better address exists, Matched street and city and state	Cuyahoga	Unknown	41.48186	-81.62702	Zip5		AA	D#N#P#	39035	S	Standard	C020	11				Eastern	-5	Y									2705	Martin Luther King Jr			Dr								44104				Cleveland OH 44104	44104
6114 Broadway	Cleveland	Cuyahoga	44127		11	Match-Mailable		6114 Broadway Ave		Cleveland	OH	44127-1740	Standardized, Address component was changed, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.46376	-81.64763	Zip9	Y	AABB	L#	39035	S	Standard	C009	11		0094	D	Eastern	-5	Y	N					N	Y		6114	Broadway			Ave								44127	1740	14	5	Cleveland OH 44127-1740	441271740145
14801 Shaw Ave	East Cleveland	Cuyahoga	44112		12	Match-Mailable		14801 Shaw Ave		Cleveland	OH	44112-2717	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.5401	-81.57763	Zip9	Y	AABB		39035	S	Standard	C021	11		0064	A	Eastern	-5	Y	N					N	Y		14801	Shaw			Ave								44112	2717	01	0	Cleveland OH 44112-2717	441122717010
800 Linn Dr	Cleveland	Cuyahoga	44108		13	Match-Mailable		800 Linn Dr		Cleveland	OH	44108-2755	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.53544	-81.60981	Zip9	Y	AABB		39035	S	Standard	C006	11		0036	A	Eastern	-5	Y	N					N	Y		800	Linn			Dr								44108	2755	00	4	Cleveland OH 44108-2755	441082755004
2561 E. 59th Street	Cleveland	Cuyahoga	44104		14	Match-Mailable		2561 E 59th St		Cleveland	OH	44104-1669	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.48859	-81.64909	Zip9	Y	AABB	N#	39035	S	Standard	C006	11		0079	A	Eastern	-5	Y	N					N	Y		2561	59th	E		St								44104	1669	61	8	Cleveland OH 44104-1669	441041669618
3409 Walton Ave	Cleveland	Cuyahoga	44113		15	Match-Mailable		3409 Walton Ave		Cleveland	OH	44113-4942	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.47063	-81.70699	Zip9	Y	AABB		39035	S	Standard	C009	11		0124	A	Eastern	-5	Y	N					N	Y		3409	Walton			Ave								44113	4942	09	9	Cleveland OH 44113-4942	441134942099
3340 Trowbridge ave	Cleveland	Cuyahoga	44109		16	Match-Mailable		3340 Trowbridge Ave		Cleveland	OH	44109-2049	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.46199	-81.70568	Zip9	Y	AABB		39035	S	Standard	C022	11		0216	A	Eastern	-5	Y	N					N	Y		3340	Trowbridge			Ave								44109	2049	40	3	Cleveland OH 44109-2049	441092049403
15700 LOTUS DR.	CLEVELAND	Cuyahoga	44128		17	Match-Mailable		15700 Lotus Dr		Cleveland	OH	44128-2427	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.44563	-81.57176	Zip9	Y	AABB	N#	39035	S	Standard	C016	11		0018	A	Eastern	-5	Y	N					N	Y		15700	Lotus			Dr								44128	2427	00	6	Cleveland OH 44128-2427	441282427006
7060 Woodland	Chagrin Falls	Geauga	44023		18	Match-Mailable		7060 Woodland Ave		Chagrin Falls	OH	44023-3641	Standardized, Address component was changed, Matched street and city and state, Confirmed entire address	Geauga	Commercial	41.4145	-81.38876	Zip9	Y	AABB	L#	39055	S	Standard	C044	14		0141	A	Eastern	-5	Y	N					N	Y		7060	Woodland			Ave								44023	3641	60	7	Chagrin Falls OH 44023-3641	440233641607
176 Hedges Street	Mansfield	Richland	44903		19	Match-Mailable		176 Hedges St		Mansfield	OH	44902-2032	Standardized, Corrected ZIP code, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Richland	Commercial	40.75354	-82.51001	Zip9	Y	AABB	A#N#	39139	S	Standard	C001	12		0017	A	Eastern	-5	Y	N					N	Y		176	Hedges			St								44902	2032	76	1	Mansfield OH 44902-2032	449022032761
13216 Detroit Ave.	Lakewood	Cuyahoga	44107		20	Match-Mailable		13216 Detroit Ave		Lakewood	OH	44107-2842	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.48482	-81.781	Zip9	Y	AABB	N#	39035	S	Standard	C011	09		0008	A	Eastern	-5	Y	N					N	Y		13216	Detroit			Ave								44107	2842	16	1	Lakewood OH 44107-2842	441072842161
6550 Baxter Ave	Cleveland	Cuyahoga	44105		21	Match-Mailable		6550 Baxter Ave		Cleveland	OH	44105-1255	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45934	-81.64439	Zip9	Y	AABB		39035	S	Standard	C015	11		0124	A	Eastern	-5	Y	N					N	Y		6550	Baxter			Ave								44105	1255	50	8	Cleveland OH 44105-1255	441051255508
4550 W. 150th Street	Cleveland	Cuyahoga	44135		22	Match-Mailable		4550 W 150th St		Cleveland	OH	44135-3460	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.42908	-81.80301	Zip9	Y	AABB	N#	39035	S	Standard	C004	09		0001	A	Eastern	-5	Y	N					N	Y		4550	150th	W		St								44135	3460	50	5	Cleveland OH 44135-3460	441353460505
3830 EAST 131 STREET	CLEVELAND	Cuyahoga	44120		23	Match-Mailable		3830 E 131st St		Cleveland	OH	44120-4664	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45553	-81.59155	Zip9	Y	AABB	N#	39035	S	Standard	C023	11		0069	A	Eastern	-5	Y	N					N	Y		3830	131st	E		St								44120	4664	30	6	Cleveland OH 44120-4664	441204664306
1962 STOKES BLVD.	CLEVELAND	Cuyahoga	44106		24	Match-Mailable		1962 Stokes Blvd		Cleveland	OH	44106-2254	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.50483	-81.61308	Zip9	Y	AABB	N#	39035	S	Standard	C022	11		0126	A	Eastern	-5	Y	N					N	Y		1962	Stokes			Blvd								44106	2254	62	4	Cleveland OH 44106-2254	441062254624
6901 Superior Avenue	Cleveland	Cuyahoga	44103		25	Match-Mailable		6901 Superior Ave		Cleveland	OH	44103-2635	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.51925	-81.6422	Zip9	Y	AABB	N#	39035	S	Standard	C008	11		0047	D	Eastern	-5	Y	N					N	Y		6901	Superior			Ave								44103	2635	01	1	Cleveland OH 44103-2635	441032635011
3706 Pearl Road	Cleveland	Cuyahoga	44109		26	Match-Mailable		3706 Pearl Rd		Cleveland	OH	44109-2703	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45432	-81.70138	Zip9	Y	AABB	N#	39035	S	Standard	C005	09		0077	A	Eastern	-5	Y	N					N	Y		3706	Pearl			Rd								44109	2703	06	4	Cleveland OH 44109-2703	441092703064
1900 Fulton Road	Cleveland	Cuyahoga	44113		27	Match-Mailable		1900 Fulton Rd		Cleveland	OH	44113-3346	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.48135	-81.71133	Zip9	Y	AABB	N#	39035	S	Standard	C016	11		0137	A	Eastern	-5	Y	N					N	Y		1900	Fulton			Rd								44113	3346	00	1	Cleveland OH 44113-3346	441133346001
856 EAST 152 STREET	CLEVELAND	Cuyahoga	44110		28	Match-Mailable		856 E 152nd St		Cleveland	OH	44110-3002	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.55596	-81.57599	Zip9	Y	AABB	N#	39035	S	Standard	C019	11		0003	A	Eastern	-5	Y	N					N	Y		856	152nd	E		St								44110	3002	56	4	Cleveland OH 44110-3002	441103002564
11602 LORAIN AVENUE	CLEVLEAND	Cuyahoga	44111		29	Match-Mailable		11602 Lorain Ave		Cleveland	OH	44111-5403	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.46305	-81.76851	Zip9	Y	AABB	N#	39035	S	Standard	C032	09		0078	A	Eastern	-5	Y	N					N	Y		11602	Lorain			Ave								44111	5403	02	5	Cleveland OH 44111-5403	441115403025
7224 Broadway Ave	Cleveland	Cuyahoga	44105		30	Match-Mailable		7224 Broadway Ave		Cleveland	OH	44105-1446	Standardized, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45735	-81.63827	Zip9	Y	AABB		39035	S	Standard	C018	11		0111	A	Eastern	-5	Y	N					N	Y		7224	Broadway			Ave								44105	1446	24	5	Cleveland OH 44105-1446	441051446245
3545 FULTON ROAD	CLEVELAND	Cuyahoga	44109		31	Match-Mailable		3545 Fulton Rd		Cleveland	OH	44109-2357	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.45795	-81.71296	Zip9	Y	AABB	N#	39035	S	Standard	C006	09		0064	A	Eastern	-5	Y	N					N	Y		3545	Fulton			Rd								44109	2357	45	6	Cleveland OH 44109-2357	441092357456
7201 KINSMAN AVENUE	CLEVELAND	Cuyahoga	44104		32	Match-Mailable		7201 Kinsman Rd		Cleveland	OH	44104-6149	Standardized, Missing secondary number, Address component was changed, Matched street and city and state, Confirmed without secondary	Cuyahoga	Commercial	41.47987	-81.6381	Zip9	D	AAN1	H#L#	39035	H	Standard	C005	11	Y	0073	A	Eastern	-5	Y	N					N	Y		7201	Kinsman			Rd								44104	6149	99	9	Cleveland OH 44104-6149	441046149999
11900 ST. CLAIR AVENUE	CLEVELAND	Cuyahoga	44108		33	Match-Mailable		11900 Saint Clair Ave		Cleveland	OH	44108-2002	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.54106	-81.60226	Zip9	Y	AABB	N#	39035	S	Standard	C022	11		0006	A	Eastern	-5	Y	N					N	Y		11900	Saint Clair			Ave								44108	2002	00	9	Cleveland OH 44108-2002	441082002009
16918 HARVARD AVENUE	CLEVELAND	Cuyahoga	44128		34	Match-Mailable		16918 Harvard Ave		Cleveland	OH	44128-2210	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.4497	-81.56185	Zip9	Y	AABB	N#	39035	S	Standard	C004	11		0040	A	Eastern	-5	Y	N					N	Y		16918	Harvard			Ave								44128	2210	18	7	Cleveland OH 44128-2210	441282210187
1566 CRAWFORD ROAD	CLEVELAND	Cuyahoga	44106		35	Match-Mailable		1566 Crawford Rd		Cleveland	OH	44106-1594	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.51438	-81.62298	Zip9	Y	AABB	N#	39035	S	Standard	C033	11		0198	A	Eastern	-5	Y	N					N	Y		1566	Crawford			Rd								44106	1594	66	4	Cleveland OH 44106-1594	441061594664
850 JEFFERSON AVENUE	CLEVELAND	Cuyahoga	44113		36	Match-Mailable		850 Jefferson Ave		Cleveland	OH	44113-4649	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.47917	-81.68568	Zip9	Y	AABB	N#	39035	S	Standard	C015	11		0322	A	Eastern	-5	Y	N					N	Y		850	Jefferson			Ave								44113	4649	50	9	Cleveland OH 44113-4649	441134649509
10200 SUPERIOR AVENUE	CLEVELAND	Cuyahoga	44106		37	Match-Mailable		10200 Superior Ave		Cleveland	OH	44106-1109	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.52139	-81.61757	Zip9	Y	AABB	N#	39035	S	Standard	C013	11		0001	A	Eastern	-5	Y	N					N	Y		10200	Superior			Ave								44106	1109	00	4	Cleveland OH 44106-1109	441061109004
8216 LORAIN BLVD	CLEVELAND	Cuyahoga	44102		38	Match-Mailable		8216 Lorain Ave		Cleveland	OH	44102-4259	Standardized, Address component was changed, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.47099	-81.74143	Zip9	Y	AABB	L#	39035	S	Standard	C029	11		0065	A	Eastern	-5	Y	N					N	Y		8216	Lorain			Ave								44102	4259	16	2	Cleveland OH 44102-4259	441024259162
325 SUPERIOR AVENUE	CLEVELAND	Cuyahoga	44114		39	Match-Mailable		325 Superior Ave E		Cleveland	OH	44114-1205	Standardized, Address component was changed, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.50117	-81.69177	Zip9	Y	AABB	L#	39035	S	Standard	C033	11		0156	A	Eastern	-5	Y	N					N	Y		325	Superior		E	Ave								44114	1205	25	1	Cleveland OH 44114-1205	441141205251
14000 KINSMAN ROAD	CLEVELAND	Cuyahoga	44120		40	Match-Mailable		14000 Kinsman Rd		Cleveland	OH	44120-4821	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.46403	-81.58445	Zip9	Y	AABB	N#	39035	S	Standard	C044	11		0105	A	Eastern	-5	Y	N					N	Y		14000	Kinsman			Rd								44120	4821	00	4	Cleveland OH 44120-4821	441204821004
11353 SHAKER BLVD.	CLEVELAND	Cuyahoga	44120		41	No Match		11353 Shaker Blvd		Cleveland	OH	44104-3805	Corrected ZIP code, Fixed abbreviations, Matched street and city and state, Primary number invalid	Cuyahoga	Unknown	41.48686	-81.60372	Zip8	N	AAM3	A#N#	39035	S	Standard	C020	11				Eastern	-5	Y									11353	Shaker			Blvd								44104	3805			Cleveland OH 44104-3805	441043805
4421 WEST 140TH STREET	CLEVLEAND	Cuyahoga	44135		42	Match-Mailable		4421 W 140th St		Cleveland	OH	44135-2109	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.43415	-81.79019	Zip9	Y	AABB	N#	39035	S	Standard	C017	09		0031	A	Eastern	-5	Y	N					N	Y		4421	140th	W		St								44135	2109	21	8	Cleveland OH 44135-2109	441352109218
4303 PEARL ROAD	CLEVELAND	Cuyahoga	44109		43	Match-Mailable		4303 Pearl Rd		Cleveland	OH	44109-4203	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.43743	-81.7075	Zip9	Y	AABB	N#	39035	S	Standard	C004	09		0006	A	Eastern	-5	Y	N					N	Y		4303	Pearl			Rd								44109	4203	03	0	Cleveland OH 44109-4203	441094203030
2200 E. 30TH STREET	CLEVELAND	Cuyahoga	44115		44	Match-Mailable		2200 E 30th St		Cleveland	OH	44115-2918	Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address	Cuyahoga	Commercial	41.49805	-81.6666	Zip9	Y	AABB	N#	39035	S	Standard	C002	11		0195	A	Eastern	-5	Y	N					N	Y		2200	30th	E		St								44115	2918	00	5	Cleveland OH 44115-2918	441152918005
